# 
# Filename                   : 
# PhraseRecognitionModelGuid : 00000000-0000-0000-0000-000000000000
# Language                   : 0
# Language version           : 0
# 
# MediaFilename	Channel	Type	Phrase	Score	StartTimeCs	EndTimeCs
	0	T	PRIMARY	100.0000	381412	381419
	0	T	ACCOUNT	100.0000	382420	382427
	0	T	HOLDER'S	100.0000	383428	383436
	0	T	SOCIAL	100.0000	384437	384443
	0	T	SECURITY	100.0000	385444	385452
	0	T	NUMBER	100.0000	386453	386459
	0	T	AND	100.0000	387387	387390
	0	T	I	100.0000	388391	388392
	0	T	WILL	100.0000	389393	389397
	0	T	THEN	100.0000	390398	390402
	0	T	REFER	100.0000	391403	391408
	0	T	THE	100.0000	392409	392412
	0	T	ACCOUNT	100.0000	393413	393420
	0	T	HOLDER'S	100.0000	394421	394429
	0	T	NAME	100.0000	395430	395434
	0	T	ON	100.0000	396435	396437
	0	T	THE	100.0000	397438	397441
	0	T	ACCOUNT	100.0000	398442	398449
	0	T	AND	100.0000	399450	399453
	0	T	HER	100.0000	400454	400457
	0	T	TO	100.0000	401458	401460
	0	T	THEM	100.0000	402461	402465
	0	T	BY	100.0000	403466	403468
	0	T	PROVIDING	100.0000	404469	404478
	0	T	THAT	100.0000	405479	405483
	0	T	YOU	100.0000	406484	406487
	0	T	WILL	100.0000	407488	407492
	0	T	BE	100.0000	408493	408495
	0	T	ASSISTED	100.0000	409496	409504
	0	T	RIGHT	100.0000	410505	410510
	0	T	AWAY	100.0000	411511	411515
	1	T	ACCOUNT	100.0000	412412	412419
	1	T	NUMBER	100.0000	413420	413426
	0	T	THANK	100.0000	414414	414419
	0	T	YOU	100.0000	415420	415423
	0	T	CAN	100.0000	416424	416427
	0	T	NOW	100.0000	417428	417431
	0	T	FOR	100.0000	418432	418435
	0	T	THE	100.0000	419436	419439
	0	T	BEST	100.0000	420440	420444
	0	T	TO	100.0000	421445	421447
	0	T	MY	100.0000	422448	422450
	0	T	ACCOUNT	100.0000	423451	423458
	1	T	SURE	100.0000	424424	424428
	0	T	LET	100.0000	425425	425428
	0	T	ME	100.0000	426429	426431
	0	T	TO	100.0000	427432	427434
	0	T	CONNECT	100.0000	428435	428442
	0	T	THIS	100.0000	429443	429447
	0	T	IS	100.0000	430448	430450
	0	T	DONE	100.0000	431451	431455
	0	T	I	100.0000	432457	432458
	0	T	APPRECIATE	100.0000	433459	433469
	0	T	YOUR	100.0000	434470	434474
	0	T	ASSISTANCE	100.0000	435475	435485
	0	T	AND	100.0000	436487	436490
	0	T	THANK	100.0000	437491	437496
	0	T	YOU	100.0000	438497	438500
	0	T	FOR	100.0000	439501	439504
	0	T	BEING	100.0000	440505	440510
	0	T	A	100.0000	441511	441512
	0	T	PHONE	100.0000	442513	442518
	0	T	NUMBER	100.0000	443519	443525
	0	T	IN	100.0000	444526	444528
	0	T	RESOLVING	100.0000	445529	445538
	0	T	YOUR	100.0000	446539	446543
	0	T	COOPERATION	100.0000	447544	447555
	0	T	AND	100.0000	448556	448559
	0	T	HAVE	100.0000	449560	449564
	0	T	THE	100.0000	450565	450568
	0	T	ACCOUNT	100.0000	451569	451576
	0	T	NUMBER	100.0000	452577	452583
	0	T	THANK	100.0000	453453	453458
	0	T	YOU	100.0000	454459	454462
	0	T	HAVE	100.0000	455463	455467
	0	T	A	100.0000	456468	456469
	0	T	GREAT	100.0000	457470	457475
	0	T	CHAT	100.0000	458476	458480
	0	T	CONVERSATION	100.0000	459481	459493
	0	T	BY	100.0000	460494	460496
	0	T	THE	100.0000	461497	461500
	0	T	NUMBER	100.0000	462501	462507
	0	T	THANKS	100.0000	463463	463469
	0	T	I	100.0000	464474	464475
	0	T	NEED	100.0000	465476	465480
	0	T	TO	100.0000	466481	466483
	0	T	CALL	100.0000	467484	467488
	0	T	THANK	100.0000	468490	468495
	0	T	YOU	100.0000	469496	469499
	0	T	WILL	100.0000	470500	470504
	0	T	HAVE	100.0000	471505	471509
	0	T	A	100.0000	472510	472511
	0	T	CHANCE	100.0000	473512	473518
	0	T	TO	100.0000	474519	474521
	0	T	MAKE	100.0000	475522	475526
	0	T	SURE	100.0000	476527	476531
	0	T	I	100.0000	477533	477534
	0	T	JUST	100.0000	478535	478539
	0	T	PRESS	100.0000	479540	479545
	0	T	9161167	100.0000	480546	480553
	1	T	ANYTHING	100.0000	481481	481489
	1	T	FOR	100.0000	482490	482493
	1	T	YOUR	100.0000	483494	483498
	1	T	TIME	100.0000	484499	484503
	1	T	HAPPY	100.0000	485505	485510
	1	T	TO	100.0000	486511	486513
	1	T	CALL	100.0000	487514	487518
	1	T	TO	100.0000	488519	488521
	1	T	CALL	100.0000	489522	489526
	1	T	THE	100.0000	490527	490530
	1	T	NUMBER	100.0000	491531	491537
	1	T	FOR	100.0000	492538	492541
	1	T	ME	100.0000	493542	493544
	0	T	THANK	100.0000	494494	494499
	0	T	YOU	100.0000	495500	495503
	0	T	THANK	100.0000	496505	496510
	0	T	YOU	100.0000	497511	497514
	1	T	TAKE	100.0000	498498	498502
	1	T	CARE	100.0000	499503	499507
	0	T	TAKE	100.0000	500500	500504
	0	T	IT	100.0000	501505	501507
	0	T	THANK	100.0000	502502	502507
	0	T	YOU	100.0000	503508	503511
	1	T	HAVE	100.0000	504504	504508
	1	T	A	100.0000	505509	505510
	1	T	SEC	100.0000	506511	506514
	1	T	PERFECT	100.0000	507507	507514
	1	T	HAVE	100.0000	508508	508512
	1	T	A	100.0000	509513	509514
	1	T	GREAT	100.0000	510515	510520
	0	T	HAPPY	100.0000	511511	511516
	0	T	THANKSGIVING	100.0000	512517	512529
	0	T	HAPPY	100.0000	513513	513518
	0	T	THANKSGIVING	100.0000	514519	514531
	0	T	TAKE	100.0000	515515	515519
	0	T	CARE	100.0000	516520	516524
	1	T	SMILE	100.0000	517520	517525
	0	T	HAVE	100.0000	518518	518522
	0	T	A	100.0000	519523	519524
	0	T	REMINDER	100.0000	520525	520533
	0	T	HAVE	100.0000	521521	521525
	0	T	A	100.0000	522526	522527
	0	T	GREAT	100.0000	523528	523533
	0	T	AND	100.0000	524524	524527
	0	T	IT	100.0000	525528	525530
	1	T	😃	100.0000	526526	526528
	0	T	OR	100.0000	527527	527529
	0	T	HAVE	100.0000	528530	528534
	0	T	A	100.0000	529535	529536
	0	T	NICE	100.0000	530537	530541
	0	T	CHATTING	100.0000	531542	531550
	1	T	HAPPY	100.0000	532532	532537
	1	T	THANKSGIVING	100.0000	533538	533550
	1	T	TOMORROW	100.0000	534551	534559
	0	T	IF	100.0000	535535	535537
	0	T	YOU	100.0000	536538	536541
	0	T	ENJOY	100.0000	537542	537547
	0	T	YOUR	100.0000	538548	538552
	0	T	TIME	100.0000	539553	539557
	1	T	HAPPY	100.0000	540540	540545
	1	T	THANKSGIVING	100.0000	541546	541558
	1	T	IN	100.0000	542559	542561
	1	T	CASE	100.0000	543562	543566
	1	T	ID	100.0000	544567	544569
	1	T	😄	100.0000	545570	545572
	0	T	😃	100.0000	546546	546548
	1	T	😄	100.0000	547547	547549
	0	T	HAVE	100.0000	548548	548552
	0	T	A	100.0000	549553	549554
	0	T	HAPPY	100.0000	550555	550560
	0	T	TO	100.0000	551561	551563
	0	T	TAKE	100.0000	552564	552568
	0	T	CARE	100.0000	553569	553573
	1	T	HAVE	100.0000	554554	554558
	1	T	A	100.0000	555559	555560
	1	T	SURVEY	100.0000	556561	556567
	1	T	AND	100.0000	557557	557560
	1	T	GOOD	100.0000	558561	558565
	1	T	BYE	100.0000	559566	559569
	1	T	FOR	100.0000	560570	560573
	0	T	BYE	100.0000	561561	561564
	0	T	BYE	100.0000	562562	562565
	1	T	NEED	100.0000	563563	563567
	1	T	ANOTHER	100.0000	564568	564575
	1	T	IP	100.0000	565576	565578
	1	T	ADDRESS	100.0000	566579	566586
	1	T	TO	100.0000	567587	567589
	1	T	SEND	100.0000	568590	568594
	1	T	IN	100.0000	569595	569597
	1	T	THE	100.0000	570598	570601
	1	T	RESET	100.0000	571602	571607
	1	T	CODE	100.0000	572608	572612
	0	T	HI	100.0000	573573	573575
	0	T	THERE	100.0000	574576	574581
	0	T	LET'S	100.0000	575583	575588
	0	T	PULL	100.0000	576589	576593
	0	T	UP	100.0000	577594	577596
	0	T	THE	100.0000	578597	578600
	0	T	ACCOUNT	100.0000	579601	579608
	0	T	AND	100.0000	580609	580612
	0	T	CHECK	100.0000	581613	581618
	0	T	ON	100.0000	582619	582621
	0	T	THE	100.0000	583622	583625
	0	T	OPTIONS	100.0000	584626	584633
	0	T	ON	100.0000	585634	585636
	0	T	HOW	100.0000	586637	586640
	0	T	WE	100.0000	587641	587643
	0	T	CAN	100.0000	588644	588647
	0	T	RESET	100.0000	589648	589653
	0	T	YOUR	100.0000	590654	590658
	0	T	PASSWORD	100.0000	591659	591667
	0	T	FOR	100.0000	592668	592671
	0	T	YOU	100.0000	593672	593675
	0	T	FOR	100.0000	594594	594597
	0	T	VERIFICATION	100.0000	595598	595610
	0	T	PURPOSES	100.0000	596611	596619
	0	T	PLEASE	100.0000	597621	597627
	0	T	PROVIDE	100.0000	598628	598635
	0	T	YOUR	100.0000	599636	599640
	0	T	COMPLETE	100.0000	600641	600649
	0	T	NAME	100.0000	601650	601654
	0	T	AND	100.0000	602655	602658
	0	T	ADDRESS	100.0000	603659	603666
	0	T	I	100.0000	604604	604605
	0	T	HOPE	100.0000	605606	605610
	0	T	WE'RE	100.0000	606611	606616
	0	T	STILL	100.0000	607617	607622
	0	T	CONNECTED	100.0000	608623	608632
	1	T	HI	100.0000	609609	609611
	1	T	THERE	100.0000	610612	610617
	1	T	CHRISTOPHER	100.0000	611611	611622
	1	T	GRAHAM	100.0000	612623	612629
	1	T	1614	100.0000	613613	613617
	1	T	S	100.0000	614618	614619
	1	T	2ND	100.0000	615621	615624
	1	T	ST	100.0000	616625	616627
	1	T	3	100.0000	617629	617630
	1	T	PHILADELPHIA	100.0000	618631	618643
	1	T	PA	100.0000	619645	619647
	1	T	19107	100.0000	620648	620653
	0	T	ONE	100.0000	621621	621624
	0	T	MOMENT	100.0000	622625	622631
	0	T	PLEASE	100.0000	623632	623638
	1	T	OK	100.0000	624624	624626
	0	T	THANK	100.0000	625625	625630
	0	T	YOU	100.0000	626631	626634
	0	T	FOR	100.0000	627635	627638
	0	T	PATIENTLY	100.0000	628639	628648
	0	T	WAITING	100.0000	629649	629656
	0	T	WE	100.0000	630630	630632
	0	T	WILL	100.0000	631633	631637
	0	T	BE	100.0000	632638	632640
	0	T	NEEDING	100.0000	633641	633648
	0	T	TO	100.0000	634649	634651
	0	T	MAKE	100.0000	635652	635656
	0	T	SURE	100.0000	636657	636661
	0	T	THAT	100.0000	637662	637666
	0	T	YOU	100.0000	638667	638670
	0	T	ARE	100.0000	639671	639674
	0	T	CONNECTED	100.0000	640675	640684
	0	T	TO	100.0000	641685	641687
	0	T	YOUR	100.0000	642688	642692
	0	T	IN	100.0000	643693	643695
	0	T	HOME	100.0000	644696	644700
	0	T	WIFI	100.0000	645701	645705
	0	T	AS	100.0000	646706	646708
	0	T	WELL	100.0000	647709	647713
	0	T	WHAT	100.0000	648648	648652
	0	T	IS	100.0000	649653	649655
	0	T	THE	100.0000	650656	650659
	0	T	USERNAME	100.0000	651660	651668
	0	T	OF	100.0000	652669	652671
	0	T	THE	100.0000	653672	653675
	0	T	ACCOUNT	100.0000	654676	654683
	0	T	YOU	100.0000	655684	655687
	0	T	ARE	100.0000	656688	656691
	0	T	TRYING	100.0000	657692	657698
	0	T	TO	100.0000	658699	658701
	0	T	ACCESS	100.0000	659702	659708
	1	T	KFGR80	100.0000	660660	660666
	0	T	SURE	100.0000	661661	661665
	0	T	CHECKING	100.0000	662667	662675
	0	T	ON	100.0000	663676	663678
	0	T	THE	100.0000	664679	664682
	0	T	SYSTEM	100.0000	665683	665689
	0	T	NOW	100.0000	666690	666693
	0	T	I	100.0000	667667	667668
	0	T	CAN	100.0000	668669	668672
	0	T	SEE	100.0000	669673	669676
	0	T	HERE	100.0000	670677	670681
	0	T	THAT	100.0000	671682	671686
	0	T	YOUR	100.0000	672687	672691
	0	T	ACCOUNT	100.0000	673692	673699
	0	T	IS	100.0000	674700	674702
